timestamp,object,message
2026-08-07T15:14:27.590Z,vectra-ai/n8n,Initializing n8n process
2026-08-07T15:14:30.231Z,vectra-ai/n8n,"n8n ready on ::, port 5678"
2026-08-07T15:14:30.325Z,vectra-ai/n8n,"n8n Task Broker ready on 127.0.0.1, port 5679"
2026-08-07T15:14:30.435Z,vectra-ai/n8n,Failed to start Python task runner in internal mode. because Python 3 is missing from this system. Launching a Python runner in internal mode is intended only for debugging and is not recommended for production. Users are encouraged to deploy in external mode. See: https://docs.n8n.io/hosting/configuration/task-runners/#setting-up-external-mode
2026-08-07T15:14:30.714Z,vectra-ai/n8n,
2026-08-07T15:14:30.714Z,vectra-ai/n8n,There are deprecations related to your n8n setup. Please take the recommended actions to update your configuration:
2026-08-07T15:14:30.714Z,vectra-ai/n8n, - N8N_UNVERIFIED_PACKAGES_ENABLED -> The default for this variable will change to `false` in a future version. Set it to `true` explicitly to keep installing unverified community packages.
2026-08-07T15:14:30.714Z,vectra-ai/n8n, - N8N_RUNNERS_TASK_TIMEOUT -> The default for this variable will be reduced from 300 (5 minutes) to 60 (1 minute) in a future version. Set it explicitly to keep your current task timeout.
2026-08-07T15:14:30.714Z,vectra-ai/n8n, - N8N_COMPRESSION_NODE_MAX_DECOMPRESSED_SIZE_BYTES -> The default for this variable will be reduced from 2 GiB to 256 MiB in a future version. Set it explicitly to keep your current limit.
2026-08-07T15:14:30.714Z,vectra-ai/n8n, - N8N_COMPRESSION_NODE_MAX_ZIP_ENTRIES -> The default for this variable will be reduced from 5000 to 1000 in a future version. Set it explicitly to keep your current limit.
2026-08-07T15:14:30.714Z,vectra-ai/n8n,
2026-08-07T15:14:30.750Z,vectra-ai/n8n,[license SDK] Skipping renewal on init: license cert is not initialized
2026-08-07T15:14:33.986Z,vectra-ai/n8n,"Registered runner ""JS Task Runner"" (PX7gSZxFB8g4XH1rZXCpf) "
2026-08-07T15:14:35.598Z,vectra-ai/n8n,Instance registered
2026-08-07T15:14:35.611Z,vectra-ai/n8n,Discovered 4 cluster checks
2026-08-07T15:14:38.140Z,vectra-ai/n8n,Version: 2.31.6
2026-08-07T15:14:38.141Z,vectra-ai/n8n,Building workflow dependency index...
2026-08-07T15:14:38.192Z,vectra-ai/n8n,
2026-08-07T15:14:38.193Z,vectra-ai/n8n,Editor is now accessible via:
2026-08-07T15:14:38.193Z,vectra-ai/n8n,http://localhost:5678
2026-08-07T15:14:38.193Z,vectra-ai/n8n,"Finished building workflow dependency index. Processed 0 draft workflows, 0 published workflows."
2026-08-07T15:15:07.038Z,vectra-ai/n8n,(node:7) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
2026-08-07T15:15:07.039Z,vectra-ai/n8n,(Use `node --trace-deprecation ...` to show where the warning was created)
2026-08-08T04:16:53.359Z,vectra-ai/qdrant,"2026-08-08T04:16:53.351810Z  INFO actix_web::middleware::logger: 172.19.0.1 ""GET /favicon.ico HTTP/1.1"" 404 0 ""http://localhost:6333/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" 0.008300"
